Onset,Offset, ObjectID
551.166666666667,552.2,11
557.166666666667,557.5,3
559.766666666667,560.466666666667,3
562.266666666667,563.4,3
563.766666666667,567.2,11
576.066666666667,576.366666666667,11
578.4,578.666666666667,11
581.633333333333,582.3,11
582.766666666667,584.8,1
584.866666666667,585.133333333333,3
585.166666666667,585.766666666667,10
586.733333333333,587.1,11
588.166666666667,588.866666666667,11
589.566666666667,591.166666666667,6
591.966666666667,592.4,11
592.666666666667,593.2,9
593.733333333333,594.033333333333,11
594.466666666667,595.133333333333,4
595.2,595.8,8
597.066666666667,597.7,9
597.966666666667,598.6,11
598.933333333333,599.566666666667,3
599.6,599.9,1
600.233333333333,600.5,8
601.2,601.633333333333,11
601.933333333333,603.3,10
603.366666666667,603.766666666667,3
603.9,605.3,9
605.533333333333,607.733333333333,11
615.366666666667,616.8,11
616.9,617.166666666667,6
617.233333333333,618.6,11
618.7,619.333333333333,6
631.766666666667,632.4,11
632.933333333333,633.333333333333,11
635,635.733333333333,11
640.1,642.3,11
643.433333333333,644.066666666667,9
644.1,644.333333333333,2
645.5,645.866666666667,9
650.333333333333,651.5,6
651.6,652.166666666667,1
652.2,652.566666666667,3
652.633333333333,652.866666666667,9
655.533333333333,656.333333333333,11
658.766666666667,659,11
659.666666666667,661.833333333333,11
662.866666666667,663.9,11
