record started at: 04-30-19 02:26:54

file format version: 4
captureMode: Offline
eye resolution: 640x480 scene resolution: 640x480
recordFrameCount sceneFrameCount avg_fps sceneQTtime(d:h:m:s.tv/ts) porQTtime(d:h:m:s.tv/ts) porX porY pupilX pupilY cornealRefX cornealRefY diameterW diameterH
125 125 30.00 0:00:00:04.167/1000 0:00:00:04.134/1000 491.99 245.97 412.60 177.06 -1000.00 -1000.00 56.00 58.00 
126 125 30.00 0:00:00:04.200/1000 0:00:00:04.167/1000 491.99 245.97 412.60 177.06 -1000.00 -1000.00 56.00 58.00 
127 127 30.00 0:00:00:04.234/1000 0:00:00:04.200/1000 491.99 245.97 412.60 177.06 -1000.00 -1000.00 56.00 58.00 
128 128 30.00 0:00:00:04.267/1000 0:00:00:04.234/1000 491.99 245.97 412.60 177.06 -1000.00 -1000.00 56.00 58.00 
129 128 30.00 0:00:00:04.300/1000 0:00:00:04.267/1000 491.99 245.97 412.60 177.06 -1000.00 -1000.00 56.00 58.00 
130 130 30.00 0:00:00:04.334/1000 0:00:00:04.300/1000 491.99 245.97 412.60 177.06 -1000.00 -1000.00 56.00 58.00 
131 131 30.00 0:00:00:04.367/1000 0:00:00:04.334/1000 491.99 245.97 412.60 177.06 -1000.00 -1000.00 56.00 58.00 
132 131 30.00 0:00:00:04.400/1000 0:00:00:04.367/1000 491.99 245.97 412.60 177.06 -1000.00 -1000.00 56.00 58.00 
133 133 30.00 0:00:00:04.434/1000 0:00:00:04.400/1000 491.99 245.97 412.60 177.06 -1000.00 -1000.00 56.00 58.00 
134 134 30.00 0:00:00:04.467/1000 0:00:00:04.434/1000 491.99 245.97 412.60 177.06 -1000.00 -1000.00 56.00 58.00 
135 134 30.00 0:00:00:04.500/1000 0:00:00:04.467/1000 491.99 245.97 412.60 177.06 -1000.00 -1000.00 56.00 58.00 
136 136 30.00 0:00:00:04.534/1000 0:00:00:04.500/1000 491.99 245.97 412.60 177.06 -1000.00 -1000.00 56.00 58.00 
137 137 30.00 0:00:00:04.567/1000 0:00:00:04.534/1000 491.99 245.97 412.60 177.06 -1000.00 -1000.00 56.00 58.00 
138 137 30.00 0:00:00:04.600/1000 0:00:00:04.567/1000 491.99 245.97 412.60 177.06 -1000.00 -1000.00 56.00 58.00 
139 139 30.00 0:00:00:04.634/1000 0:00:00:04.600/1000 491.99 245.97 412.60 177.06 -1000.00 -1000.00 56.00 58.00 
140 140 30.00 0:00:00:04.667/1000 0:00:00:04.634/1000 491.99 245.97 412.60 177.06 -1000.00 -1000.00 56.00 58.00 
141 140 30.00 0:00:00:04.700/1000 0:00:00:04.667/1000 491.99 245.97 412.60 177.06 -1000.00 -1000.00 56.00 58.00 
142 142 30.00 0:00:00:04.734/1000 0:00:00:04.700/1000 491.99 245.97 412.60 177.06 -1000.00 -1000.00 56.00 58.00 
143 143 30.00 0:00:00:04.767/1000 0:00:00:04.734/1000 491.99 245.97 412.60 177.06 -1000.00 -1000.00 56.00 58.00 
144 143 30.00 0:00:00:04.800/1000 0:00:00:04.767/1000 491.99 245.97 412.60 177.06 -1000.00 -1000.00 56.00 58.00 
145 145 30.00 0:00:00:04.834/1000 0:00:00:04.800/1000 491.99 245.97 412.60 177.06 -1000.00 -1000.00 56.00 58.00 
146 146 30.00 0:00:00:04.867/1000 0:00:00:04.834/1000 491.99 245.97 412.60 177.06 -1000.00 -1000.00 56.00 58.00 
147 146 30.00 0:00:00:04.900/1000 0:00:00:04.867/1000 491.99 245.97 412.60 177.06 -1000.00 -1000.00 56.00 58.00 
148 148 30.00 0:00:00:04.934/1000 0:00:00:04.900/1000 491.99 245.97 412.60 177.06 -1000.00 -1000.00 56.00 58.00 
149 149 30.00 0:00:00:04.967/1000 0:00:00:04.934/1000 491.99 245.97 412.60 177.06 -1000.00 -1000.00 56.00 58.00 
150 149 30.00 0:00:00:05.00/1000 0:00:00:04.967/1000 491.99 245.97 412.60 177.06 -1000.00 -1000.00 56.00 58.00 
151 151 30.00 0:00:00:05.34/1000 0:00:00:05.00/1000 491.99 245.97 412.60 177.06 -1000.00 -1000.00 56.00 58.00 
152 152 30.00 0:00:00:05.67/1000 0:00:00:05.34/1000 491.99 245.97 412.60 177.06 -1000.00 -1000.00 56.00 58.00 
153 152 30.00 0:00:00:05.100/1000 0:00:00:05.67/1000 491.99 245.97 412.60 177.06 -1000.00 -1000.00 56.00 58.00 
154 154 30.00 0:00:00:05.134/1000 0:00:00:05.100/1000 491.99 245.97 412.60 177.06 -1000.00 -1000.00 56.00 58.00 
155 155 30.00 0:00:00:05.167/1000 0:00:00:05.134/1000 491.99 245.97 412.60 177.06 -1000.00 -1000.00 56.00 58.00 
156 155 30.00 0:00:00:05.200/1000 0:00:00:05.167/1000 491.99 245.97 412.60 177.06 -1000.00 -1000.00 56.00 58.00 
157 157 30.00 0:00:00:05.234/1000 0:00:00:05.200/1000 491.99 245.97 412.60 177.06 -1000.00 -1000.00 56.00 58.00 
158 158 30.00 0:00:00:05.267/1000 0:00:00:05.234/1000 491.99 245.97 412.60 177.06 -1000.00 -1000.00 56.00 58.00 
159 158 30.00 0:00:00:05.300/1000 0:00:00:05.267/1000 491.99 245.97 412.60 177.06 -1000.00 -1000.00 56.00 58.00 
160 160 30.00 0:00:00:05.334/1000 0:00:00:05.300/1000 491.99 245.97 412.60 177.06 -1000.00 -1000.00 56.00 58.00 
161 161 30.00 0:00:00:05.367/1000 0:00:00:05.334/1000 491.99 245.97 412.60 177.06 -1000.00 -1000.00 56.00 58.00 
162 161 30.00 0:00:00:05.400/1000 0:00:00:05.367/1000 491.99 245.97 412.60 177.06 -1000.00 -1000.00 56.00 58.00 
163 163 30.00 0:00:00:05.434/1000 0:00:00:05.400/1000 491.99 245.97 412.60 177.06 -1000.00 -1000.00 56.00 58.00 
164 164 30.00 0:00:00:05.467/1000 0:00:00:05.434/1000 491.99 245.97 412.60 177.06 -1000.00 -1000.00 56.00 58.00 
165 164 30.00 0:00:00:05.500/1000 0:00:00:05.467/1000 491.99 245.97 412.60 177.06 -1000.00 -1000.00 56.00 58.00 
166 166 30.00 0:00:00:05.534/1000 0:00:00:05.500/1000 491.99 245.97 412.60 177.06 -1000.00 -1000.00 56.00 58.00 
167 167 30.00 0:00:00:05.567/1000 0:00:00:05.534/1000 491.99 245.97 412.60 177.06 -1000.00 -1000.00 56.00 58.00 
168 167 30.00 0:00:00:05.600/1000 0:00:00:05.567/1000 491.99 245.97 412.60 177.06 -1000.00 -1000.00 56.00 58.00 
169 169 30.00 0:00:00:05.634/1000 0:00:00:05.600/1000 491.99 245.97 412.60 177.06 -1000.00 -1000.00 56.00 58.00 
170 170 30.00 0:00:00:05.667/1000 0:00:00:05.634/1000 491.99 245.97 412.60 177.06 -1000.00 -1000.00 56.00 58.00 
171 170 30.00 0:00:00:05.700/1000 0:00:00:05.667/1000 491.99 245.97 412.60 177.06 -1000.00 -1000.00 56.00 58.00 
172 172 30.00 0:00:00:05.734/1000 0:00:00:05.700/1000 491.99 245.97 412.60 177.06 -1000.00 -1000.00 56.00 58.00 
173 173 30.00 0:00:00:05.767/1000 0:00:00:05.734/1000 491.99 245.97 412.60 177.06 -1000.00 -1000.00 56.00 58.00 
174 173 30.00 0:00:00:05.800/1000 0:00:00:05.767/1000 491.99 245.97 412.60 177.06 -1000.00 -1000.00 56.00 58.00 
175 175 30.00 0:00:00:05.834/1000 0:00:00:05.800/1000 491.99 245.97 412.60 177.06 -1000.00 -1000.00 56.00 58.00 
176 176 30.00 0:00:00:05.867/1000 0:00:00:05.834/1000 491.99 245.97 412.60 177.06 -1000.00 -1000.00 56.00 58.00 
177 176 30.00 0:00:00:05.900/1000 0:00:00:05.867/1000 491.99 245.97 412.60 177.06 -1000.00 -1000.00 56.00 58.00 
178 178 30.00 0:00:00:05.934/1000 0:00:00:05.900/1000 491.99 245.97 412.60 177.06 -1000.00 -1000.00 56.00 58.00 
179 179 30.00 0:00:00:05.967/1000 0:00:00:05.934/1000 491.99 245.97 412.60 177.06 -1000.00 -1000.00 56.00 58.00 
180 179 30.00 0:00:00:06.00/1000 0:00:00:05.967/1000 491.99 245.97 412.60 177.06 -1000.00 -1000.00 56.00 58.00 
181 181 30.00 0:00:00:06.34/1000 0:00:00:06.00/1000 491.99 245.97 412.60 177.06 -1000.00 -1000.00 56.00 58.00 
182 182 30.00 0:00:00:06.67/1000 0:00:00:06.34/1000 491.99 245.97 412.60 177.06 -1000.00 -1000.00 56.00 58.00 
183 182 30.00 0:00:00:06.100/1000 0:00:00:06.67/1000 491.99 245.97 412.60 177.06 -1000.00 -1000.00 56.00 58.00 
184 184 30.00 0:00:00:06.134/1000 0:00:00:06.100/1000 491.99 245.97 412.60 177.06 -1000.00 -1000.00 56.00 58.00 
185 185 30.00 0:00:00:06.167/1000 0:00:00:06.134/1000 491.99 245.97 412.60 177.06 -1000.00 -1000.00 56.00 58.00 
186 185 30.00 0:00:00:06.200/1000 0:00:00:06.167/1000 491.99 245.97 412.60 177.06 -1000.00 -1000.00 56.00 58.00 
187 187 30.00 0:00:00:06.234/1000 0:00:00:06.200/1000 491.99 245.97 412.60 177.06 -1000.00 -1000.00 56.00 58.00 
188 188 30.00 0:00:00:06.267/1000 0:00:00:06.234/1000 491.99 245.97 412.60 177.06 -1000.00 -1000.00 56.00 58.00 
189 188 30.00 0:00:00:06.300/1000 0:00:00:06.267/1000 491.99 245.97 412.60 177.06 -1000.00 -1000.00 56.00 58.00 
190 190 30.00 0:00:00:06.334/1000 0:00:00:06.300/1000 491.99 245.97 412.60 177.06 -1000.00 -1000.00 56.00 58.00 
191 191 30.00 0:00:00:06.367/1000 0:00:00:06.334/1000 491.99 245.97 412.60 177.06 -1000.00 -1000.00 56.00 58.00 
192 191 30.00 0:00:00:06.400/1000 0:00:00:06.367/1000 491.99 245.97 412.60 177.06 -1000.00 -1000.00 56.00 58.00 
