Onset (s),Offset (s)
1235.867,1236.3
1236.434,1237.567
1237.734,1238.0
1238.2,1238.367
1238.434,1238.734
1239.067,1239.3
1239.334,1239.8
1240.4,1240.9
1240.967,1241.134
1241.167,1241.467
1241.534,1242.134
1242.2,1242.934
1243.034,1243.267
1243.367,1243.667
1243.7,1245.0
1245.067,1245.434
1245.534,1245.7
1245.767,1246.667
1246.7,1247.534
1247.667,1247.767
1247.967,1248.667
1248.734,1248.834
1248.9,1249.334
1249.734,1250.534
1250.567,1250.7
1250.734,1251.267
1251.334,1252.1
1252.2,1252.534
1252.6,1252.934
1252.967,1253.3
1253.367,1253.467
1253.734,1253.967
1254.034,1254.267
1254.367,1254.5
1254.534,1255.134
1255.367,1255.5
1255.7,1256.0
1256.167,1256.6
1256.634,1256.8
1256.834,1257.4
1257.5,1257.834
1257.934,1258.1
1258.167,1258.634
1258.834,1258.967
1259.034,1259.334
1259.367,1259.6
1260.034,1260.634
1260.967,1261.634
1261.8,1262.5
1262.6,1262.9
1263.067,1263.334
1264.167,1264.267
1264.367,1264.8
1264.967,1265.5
1265.767,1265.934
1266.1,1266.4
1266.967,1267.334
1267.667,1267.767
1267.834,1268.467
1268.5,1269.5
1269.567,1269.7
1269.8,1270.1
1270.267,1270.5
1270.667,1270.934
1270.967,1271.334
1271.4,1271.7
1271.734,1271.967
1272.0,1272.234
1272.3,1272.634
1272.734,1272.9
1272.967,1273.2
1273.334,1273.467
1273.5,1273.667
1273.734,1274.0
1274.134,1274.5
1274.734,1275.0
1275.034,1275.167
1275.267,1275.4
1275.734,1276.034
1276.134,1276.267
1276.3,1277.3
1277.334,1277.467
1277.5,1277.9
1278.034,1278.967
1279.034,1279.434
1279.7,1279.867
1280.467,1280.7
1281.367,1281.634
1281.667,1281.8
1282.1,1282.334
1282.434,1283.4
1283.6,1283.734
1284.134,1284.334
1284.9,1285.034
1285.167,1285.3
1285.367,1285.5
1285.8,1286.367
1286.434,1287.4
1288.234,1288.334
1288.534,1288.734
1288.867,1289.034
1289.334,1289.467
1290.7,1291.034
1291.3,1291.4
1291.734,1291.867
1292.3,1292.4
1292.434,1292.7
1292.734,1293.334
1293.667,1293.767
1293.8,1294.034
1294.067,1294.3
1294.567,1295.134
1295.2,1295.334
1295.834,1295.967
1296.5,1297.067
1297.267,1297.4
1297.434,1297.667
1298.267,1299.2
1299.267,1299.634
1299.734,1299.9
1300.334,1300.567
1300.634,1301.0
1301.034,1301.3
1301.567,1301.867
1302.067,1302.4
1302.5,1303.4
1303.467,1304.7
1304.834,1305.267
1305.567,1308.234
1308.267,1313.967
1314.134,1314.334
1316.5,1316.634
1317.167,1317.267
1317.534,1321.234
1321.334,1321.9
1322.867,1323.1
1323.434,1323.634
1326.334,1326.467
