record started at: 04-26-19 12:52:11

file format version: 4
captureMode: Offline
eye resolution: 640x480 scene resolution: 640x480
recordFrameCount sceneFrameCount avg_fps sceneQTtime(d:h:m:s.tv/ts) porQTtime(d:h:m:s.tv/ts) porX porY pupilX pupilY cornealRefX cornealRefY diameterW diameterH
65 65 30.00 0:00:00:02.167/1000 0:00:00:02.134/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
66 65 30.00 0:00:00:02.200/1000 0:00:00:02.167/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
67 67 29.99 0:00:00:02.234/1000 0:00:00:02.200/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
68 68 30.00 0:00:00:02.267/1000 0:00:00:02.234/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
69 68 30.00 0:00:00:02.300/1000 0:00:00:02.267/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
70 70 29.99 0:00:00:02.334/1000 0:00:00:02.300/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
71 71 30.00 0:00:00:02.367/1000 0:00:00:02.334/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
72 71 30.00 0:00:00:02.400/1000 0:00:00:02.367/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
73 73 29.99 0:00:00:02.434/1000 0:00:00:02.400/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
74 74 30.00 0:00:00:02.467/1000 0:00:00:02.434/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
75 74 30.00 0:00:00:02.500/1000 0:00:00:02.467/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
76 76 29.99 0:00:00:02.534/1000 0:00:00:02.500/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
77 77 30.00 0:00:00:02.567/1000 0:00:00:02.534/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
78 77 30.00 0:00:00:02.600/1000 0:00:00:02.567/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
79 79 29.99 0:00:00:02.634/1000 0:00:00:02.600/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
80 80 30.00 0:00:00:02.667/1000 0:00:00:02.634/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
81 80 30.00 0:00:00:02.700/1000 0:00:00:02.667/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
82 82 29.99 0:00:00:02.734/1000 0:00:00:02.700/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
83 83 30.00 0:00:00:02.767/1000 0:00:00:02.734/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
84 83 30.00 0:00:00:02.800/1000 0:00:00:02.767/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
85 85 29.99 0:00:00:02.834/1000 0:00:00:02.800/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
86 86 30.00 0:00:00:02.867/1000 0:00:00:02.834/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
87 86 30.00 0:00:00:02.900/1000 0:00:00:02.867/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
88 88 29.99 0:00:00:02.934/1000 0:00:00:02.900/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
89 89 30.00 0:00:00:02.967/1000 0:00:00:02.934/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
90 89 30.00 0:00:00:03.00/1000 0:00:00:02.967/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
91 91 29.99 0:00:00:03.34/1000 0:00:00:03.00/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
92 92 30.00 0:00:00:03.67/1000 0:00:00:03.34/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
93 92 30.00 0:00:00:03.100/1000 0:00:00:03.67/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
94 94 29.99 0:00:00:03.134/1000 0:00:00:03.100/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
95 95 30.00 0:00:00:03.167/1000 0:00:00:03.134/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
96 95 30.00 0:00:00:03.200/1000 0:00:00:03.167/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
97 97 29.99 0:00:00:03.234/1000 0:00:00:03.200/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
98 98 30.00 0:00:00:03.267/1000 0:00:00:03.234/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
99 98 30.00 0:00:00:03.300/1000 0:00:00:03.267/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
100 100 29.99 0:00:00:03.334/1000 0:00:00:03.300/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
101 101 30.00 0:00:00:03.367/1000 0:00:00:03.334/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
102 101 30.00 0:00:00:03.400/1000 0:00:00:03.367/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
103 103 29.99 0:00:00:03.434/1000 0:00:00:03.400/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
104 104 30.00 0:00:00:03.467/1000 0:00:00:03.434/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
105 104 30.00 0:00:00:03.500/1000 0:00:00:03.467/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
106 106 29.99 0:00:00:03.534/1000 0:00:00:03.500/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
107 107 30.00 0:00:00:03.567/1000 0:00:00:03.534/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
108 107 30.00 0:00:00:03.600/1000 0:00:00:03.567/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
109 109 29.99 0:00:00:03.634/1000 0:00:00:03.600/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
110 110 30.00 0:00:00:03.667/1000 0:00:00:03.634/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
111 110 30.00 0:00:00:03.700/1000 0:00:00:03.667/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
112 112 29.99 0:00:00:03.734/1000 0:00:00:03.700/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
113 113 30.00 0:00:00:03.767/1000 0:00:00:03.734/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
114 113 30.00 0:00:00:03.800/1000 0:00:00:03.767/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
115 115 29.99 0:00:00:03.834/1000 0:00:00:03.800/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
116 116 30.00 0:00:00:03.867/1000 0:00:00:03.834/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
117 116 30.00 0:00:00:03.900/1000 0:00:00:03.867/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
118 118 29.99 0:00:00:03.934/1000 0:00:00:03.900/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
119 119 30.00 0:00:00:03.967/1000 0:00:00:03.934/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
120 119 30.00 0:00:00:04.00/1000 0:00:00:03.967/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
121 121 30.00 0:00:00:04.34/1000 0:00:00:04.00/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
122 122 30.00 0:00:00:04.67/1000 0:00:00:04.34/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
123 122 30.00 0:00:00:04.100/1000 0:00:00:04.67/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
124 124 30.00 0:00:00:04.134/1000 0:00:00:04.100/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
125 125 30.00 0:00:00:04.167/1000 0:00:00:04.134/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
126 125 30.00 0:00:00:04.200/1000 0:00:00:04.167/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
127 127 30.00 0:00:00:04.234/1000 0:00:00:04.200/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
128 128 30.00 0:00:00:04.267/1000 0:00:00:04.234/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
129 128 30.00 0:00:00:04.300/1000 0:00:00:04.267/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
130 130 30.00 0:00:00:04.334/1000 0:00:00:04.300/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
131 131 30.00 0:00:00:04.367/1000 0:00:00:04.334/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
132 131 30.00 0:00:00:04.400/1000 0:00:00:04.367/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
133 133 30.00 0:00:00:04.434/1000 0:00:00:04.400/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
134 134 30.00 0:00:00:04.467/1000 0:00:00:04.434/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
135 134 30.00 0:00:00:04.500/1000 0:00:00:04.467/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
136 136 30.00 0:00:00:04.534/1000 0:00:00:04.500/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
137 137 30.00 0:00:00:04.567/1000 0:00:00:04.534/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
138 137 30.00 0:00:00:04.600/1000 0:00:00:04.567/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
139 139 30.00 0:00:00:04.634/1000 0:00:00:04.600/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
140 140 30.00 0:00:00:04.667/1000 0:00:00:04.634/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
141 140 30.00 0:00:00:04.700/1000 0:00:00:04.667/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
